invoice_no,is_set,parent_item_uuid,raw_text,quantity,unit_price,amount
25063417-1,0,,燃料キャップ嚙み込み分解取外し,1,8000,8000
25063418-1,0,,床亀裂溶接,1,5000,5000
25063418-1,1,,マフラーカバー脱着ステイ折損ステン溶接 等一式,1,18000,18000
25063418-1,0,60e6b321-98a5-430b-848d-b05fec9d24d4,マフラーカバー脱着ステイ折損ステン溶接,1,0,0
25063418-1,0,60e6b321-98a5-430b-848d-b05fec9d24d4,リベット打ち替え加工,1,0,0
25063418-2,0,,床亀裂溶接,1,5000,5000
25063419-1,1,,マフラーカバー脱着ステイ折損ステン溶接 等一式,1,18000,18000
25063419-1,0,77ec1fe8-175d-4b3f-b54f-aa31c0c04d1b,マフラーカバー脱着ステイ折損ステン溶接,1,0,0
25063419-1,0,77ec1fe8-175d-4b3f-b54f-aa31c0c04d1b,リベット打ち替え加工,1,0,0
25063420-1,0,,ドライバーシート分解作動不良点検,1,10000,10000
25063421-1,0,,煽りスケット取替加工,1,10000,10000
25063422-1,1,,ウィング蝶番点検 等一式,1,8000,8000
25063422-1,0,8d6b495e-33ff-44a5-86b9-c90fc4148ff3,ウィング蝶番点検,1,0,0
25063422-1,0,8d6b495e-33ff-44a5-86b9-c90fc4148ff3,グリスアップ,1,0,0
25063423-1,0,,右煽りキャッチ取替,1,5000,5000
